Number,image,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
26704,https://www.wga.hu/detail/m/michelan/3sistina/lastjudg/right/last_r11.jpg,MICHELANGELO Buonarroti,"(b. 1475, Caprese, d. 1564, Roma)",Last Judgment (detail),1537-41,Fresco,"Cappella Sistina, Vatican",painting,religious,Italian,1501-1550,The picture shows St Catherine of Alexandria.
26705,https://www.wga.hu/detail/m/michelan/4drawing/01/08early.jpg,MICHELANGELO Buonarroti,"(b. 1475, Caprese, d. 1564, Roma)",Two Standing Figures in Profile (verso),1493-96,"Pen in two shades of brown ink, 269 x 194 mm","Teylers Museum, Haarlem",graphics,study,Italian,1501-1550,This pen drawing is on the verso of the sheet representing One Kneeling and Two Standing Figures.
26814,https://www.wga.hu/detail/m/michelan/4drawing/07/03virgix.jpg,MICHELANGELO Buonarroti,"(b. 1475, Caprese, d. 1564, Roma)",Madonna and Child with St Anne (recto),-,"Pen and ink on paper, 325 x 260 mm","Mus?e du Louvre, Paris",graphics,study,Italian,1501-1550,"Beneath the main figures, a head in profile, and a male nude are visible."
26824,https://www.wga.hu/detail/m/michelan/4drawing/07/13Madonna.jpg,MICHELANGELO Buonarroti,"(b. 1475, Caprese, d. 1564, Roma)",Study for an Annunciation (verso),1547,"Black chalk on paper, 281 x 195 mm","British Museum, London",graphics,study,Italian,1501-1550,"On the verso of the sheet, the kneeling Angel of the Annunciation is represented. On the recto, the Madonna Annunciate is depicted."
26825,https://www.wga.hu/detail/m/michelan/4drawing/07/14Madonna.jpg,MICHELANGELO Buonarroti,"(b. 1475, Caprese, d. 1564, Roma)",Madonna and Child with St Anne (recto),-,"Pen and ink, 325 x 260 mm","Mus?e du Louvre, Paris",graphics,study,Italian,1501-1550,"Beneath the main figures, a head in profile, and a male nude are visible."
26853,https://www.wga.hu/detail/m/michelan/4drawing/10/03misc.jpg,MICHELANGELO Buonarroti,"(b. 1475, Caprese, d. 1564, Roma)",A Man Lifting a Boar onto his Shoulder (verso),1524-25,"Red chalk, 282 x 200 mm","Ashmolean Museum, Oxford",graphics,study,Italian,1501-1550,"This drawing probably depicts Hercules and the Erymanthian Boar, although the attributes of Hercules are missing."
26873,https://www.wga.hu/detail/m/michelan/5archite/late/1campid51.jpg,MICHELANGELO Buonarroti,"(b. 1475, Caprese, d. 1564, Roma)",Palazzo Senatorio,1560s,Photo,"Piazza Campidoglio, Rome",architecture,other,Italian,1501-1550,The photo shows one of the two river gods on the staircase of the Senators' Palace.
26899,https://www.wga.hu/detail/m/michele/firenze/pellegr4.jpg,MICHELE DA FIRENZE,(active c. 1404-1443),Scenes from the Life of Christ (left wall),1433-38,Terracotta,"Pellegrini Chapel, Sant'Anastasia, Verona",sculpture,religious,Italian,1401-1450,The picture shows the Nativity scene on the left wall of the chapel.
26914,https://www.wga.hu/detail/m/michele/matteo/s_elena1.jpg,MICHELE DI MATTEO,(active 1410-1469),Polyptych of Sant'Elena (detail),c. 1427,"Tempera on panel, 114 x 66 cm","Gallerie dell'Accademia, Venice",painting,religious,Italian,1401-1450,The picture shows the central panel of the upper tier representing the Crucifixion.
27041,https://www.wga.hu/detail/m/mignon/still_8.jpg,"MIGNON, Abraham","(b. 1640, Frankfurt, d. 1679, Utrecht)",still life,-,"Oil on canvas, 99 x 84 cm","Mus?e du Louvre, Paris",painting,still life,German,1651-1700,"This still life consists of fruit, birds and insects on a background of ruins, with a mouse entering a nest."
27056,https://www.wga.hu/detail/m/mildert/carolus.jpg,"MILDERT, Johannes van","(b. 1588, K?nigsberg, d. 1638, Antwerpen)",Madonna Enthroned,c. 1620,Stone,"Sint-Carolus-Borromeuskerk, Antwerp",sculpture,religious,Flemish,1601-1650,Madonna Enthroned.
27069,https://www.wga.hu/detail/m/millet_a/opera.jpg,"MILLET, Aim?","(b. 1819, Paris, d. 1891, Paris)","Apollo, Poetry, and Music",1869,Bronze,"Op?ra Garnier, Paris",sculpture,mythological,French,1851-1900,"The group of Apollo, Poetry, and Music."
27071,https://www.wga.hu/detail/m/millet_a/prudence.jpg,"MILLET, Aim?","(b. 1819, Paris, d. 1891, Paris)",Prudence,1882,Stone,"Comptoir National d'Escompte, Paris",sculpture,mythological,French,1851-1900,The statue of Prudence is on the facade of the building.
27102,https://www.wga.hu/detail/zgothic/miniatur/1451-500/4other/02_1451.jpg,"MINIATURIST, Austrian",(active 1480s),South-Tyrolian Evangelistarium,1482,Manuscript,"Cathedral Library, Esztergom",illumination,religious,Austrian,1451-1500,The miniature depicting the Annunciation.
27103,https://www.wga.hu/detail/zgothic/miniatur/1451-500/4other/03_1451.jpg,"MINIATURIST, Austrian",(active 1480s),South-Tyrolian Evangelistarium,1482,Manuscript,"Cathedral Library, Esztergom",illumination,religious,Austrian,1451-1500,The miniature depicting the Nativity.
27104,https://www.wga.hu/detail/zgothic/miniatur/1451-500/4other/04_1451.jpg,"MINIATURIST, Austrian",(active 1480s),South-Tyrolian Evangelistarium,1482,Manuscript,"Cathedral Library, Esztergom",illumination,religious,Austrian,1451-1500,The miniature depicting the Three Magi.
27105,https://www.wga.hu/detail/zgothic/miniatur/1451-500/4other/05_1451.jpg,"MINIATURIST, Austrian",(active 1480s),South-Tyrolian Evangelistarium,1482,Manuscript,"Cathedral Library, Esztergom",illumination,religious,Austrian,1451-1500,The miniature depicting the Presentation.
27106,https://www.wga.hu/detail/zgothic/miniatur/1451-500/4other/06_1451.jpg,"MINIATURIST, Austrian",(active 1480s),South-Tyrolian Evangelistarium,1482,Manuscript,"Cathedral Library, Esztergom",illumination,religious,Austrian,1451-1500,The miniature depicting the Resurrection of Christ.
27107,https://www.wga.hu/detail/zgothic/miniatur/1451-500/4other/07_1451.jpg,"MINIATURIST, Austrian",(active 1480s),South-Tyrolian Evangelistarium,1482,Manuscript,"Cathedral Library, Esztergom",illumination,religious,Austrian,1451-1500,The miniature depicting the Vision of St John the Evangelist (The Eagle and Christ-Child}.
27141,https://www.wga.hu/detail/zgothic/miniatur/0551-600/rabbula2.jpg,"MINIATURIST, Byzantine",(active 580s in Mesopotamia),Rabbula Codex (Rabbula Gospels),586,"Manuscript (Cod. Plut. 1, 56), 336 x 267 mm","Biblioteca Medicea Laurenziana, Florence",illumination,religious,Other,0551-0600,The Crucifixion and the Holy Women at the Sepulchre
27142,https://www.wga.hu/detail/zgothic/miniatur/0551-600/rabbula3.jpg,"MINIATURIST, Byzantine",(active 580s in Mesopotamia),Rabbula Codex (Rabbula Gospels),586,"Manuscript (Cod. Plut. 1, 56), 336 x 267 mm","Biblioteca Medicea Laurenziana, Florence",illumination,religious,Other,0551-0600,Portraits of the evangelists Matthew and John.
27145,https://www.wga.hu/detail/zgothic/miniatur/0651-700/2other/asburnh3.jpg,"MINIATURIST, Byzantine",(active 7th century in North Africa ?),Asburnham Pentateuch,7th century,Manuscript (Ms. nouv.acq. lat. 2334),"Biblioth?que Nationale, Paris",illumination,religious,Other,0651-0700,Moses receiving the Law.
27147,https://www.wga.hu/detail/zgothic/miniatur/0651-700/2other/asburnh5.jpg,"MINIATURIST, Byzantine",(active 7th century in North Africa ?),Asburnham Pentateuch,7th century,Manuscript (Ms. nouv.acq. lat. 2334),"Biblioth?que Nationale, Paris",illumination,religious,Other,0651-0700,Story of Adam and Cain and Abel.
27148,https://www.wga.hu/detail/zgothic/miniatur/0651-700/2other/asburnh6.jpg,"MINIATURIST, Byzantine",(active 7th century in North Africa ?),Asburnham Pentateuch,7th century,Manuscript (Ms. nouv.acq. lat. 2334),"Biblioth?que Nationale, Paris",illumination,religious,Other,0651-0700,Story of Isaac and Rebecca.
27179,https://www.wga.hu/detail/zgothic/miniatur/1101-150/1english/151engli.jpg,"MINIATURIST, English",(active mid-12th century),Lansdowne Psalter,c. 1150,Manuscript (MS Lansdowne 383,"British Library, London",illumination,religious,English,1101-1150,St Michael carrying a napkin full of souls to Christ.
27203,https://www.wga.hu/detail/zgothic/miniatur/1151-200/2english/37englis.jpg,"MINIATURIST, English",(active 1190s),Bestiary,1190s,"Manuscript (Ms. Ashmole 1511), 276 x 183 mm","Bodleian Library, Oxford",illumination,other,English,1151-1200,God creates the birds and the fishes.
27210,https://www.wga.hu/detail/zgothic/miniatur/1201-250/2english/452engli.jpg,"MINIATURIST, English",(active c. 1230 in Rochester),Bestiary and Lapidary ('the Rochester Bestiary'),c. 1230,Manuscript (Royal MS 12 F XIII),"British Library, London",illumination,other,English,1201-1250,Manticora having the face of a man and the body of a lion.
27211,https://www.wga.hu/detail/zgothic/miniatur/1201-250/2english/453engli.jpg,"MINIATURIST, English",(active c. 1230 in Rochester),Bestiary and Lapidary ('the Rochester Bestiary'),c. 1230,Manuscript (Royal MS 12 F XIII),"British Library, London",illumination,other,English,1201-1250,Manticora having the face of a man and the body of a lion.
27213,https://www.wga.hu/detail/zgothic/miniatur/1201-250/2english/455engli.jpg,"MINIATURIST, English",(active 1230s),Bestiary,1230s,Manuscript (MS Harley 4751),"British Library, London",illumination,other,English,1201-1250,Huge griffin with a horse in its talons.
27232,https://www.wga.hu/detail/zgothic/miniatur/1251-300/1english/62englis.jpg,"MINIATURIST, English",(active in 1280s),Story of Oedipus,c. 1286,Manuscript (Add. Ms. 15268),"British Library, London",illumination,other,English,1251-1300,"Oedipus. As a baby he is exposed on a mountain, bound by the ankles."
27233,https://www.wga.hu/detail/zgothic/miniatur/1251-300/1english/63englis.jpg,"MINIATURIST, English",(active in 1280s),Story of Oedipus,c. 1286,Manuscript (Add. Ms. 15268),"British Library, London",illumination,other,English,1251-1300,It depicts Oedipus fighting the Sphinx.
27246,https://www.wga.hu/detail/zgothic/miniatur/1301-350/1english/762engli.jpg,"MINIATURIST, English",(active 1325-1340),Luttrell Psalter,1325-40,Manuscript (Add. MS 42130),"British Library, London",illumination,religious,English,1301-1350,It depicts a hybrid monster.
27250,https://www.wga.hu/detail/zgothic/miniatur/1301-350/1english/766engli.jpg,"MINIATURIST, English",(active 1330s),Luttrell Psalter,1335-40,Manuscript (Add. MS 42130),"British Library, London",illumination,religious,English,1301-1350,Richard the Lionheart unhorses Saladin in battle.
27254,https://www.wga.hu/detail/zgothic/miniatur/1301-350/1english/77englis.jpg,"MINIATURIST, English",(active in 14th century),Ormesby Psalter,14th century,Manuscript (Ms. Douce 366),"Bodleian Library, Oxford",illumination,religious,English,1301-1350,The detail depicts a monster.
27259,https://www.wga.hu/detail/zgothic/miniatur/1301-350/1english/82englis.jpg,"MINIATURIST, English",(active in the 14th century),Apocalypse,14th century,Manuscript,"British Library, London",illumination,religious,English,1301-1350,Christ himself leading the Crusaders to Jerusalem.
27287,https://www.wga.hu/detail/zgothic/miniatur/1301-350/4other/06_1301.jpg,"MINIATURIST, Flemish",(active 1320s),Book of Hours,1320s,Manuscript (MS Douce 6),"Bodleian Library, Oxford",illumination,religious,Flemish,1301-1350, It depicts a young man entering a brothel.
27290,https://www.wga.hu/detail/zgothic/miniatur/1301-350/4other/09_1301.jpg,"MINIATURIST, Flemish",(active 1340s in Tournai),Roman d'Alexandre,1344,Manuscript (MS Bodley 264),"Bodleian Library, Oxford",illumination,other,Flemish,1301-1350,Dancers wearing traditional fools' costume.
27302,https://www.wga.hu/detail/zgothic/miniatur/1401-450/5flemish/07flemis.jpg,"MINIATURIST, Flemish",(active 1440s in Bruges),Breviary,c. 1440,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1401-1450,Depicts the Flight into Egypt.
27303,https://www.wga.hu/detail/zgothic/miniatur/1401-450/5flemish/08flemis.jpg,"MINIATURIST, Flemish",(active 1440s in Bruges),Breviary,c. 1440,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1401-1450,Crowning of the Madonna.
27304,https://www.wga.hu/detail/zgothic/miniatur/1401-450/5flemish/09flemis.jpg,"MINIATURIST, Flemish",(active 1440s in Bruges),Breviary,c. 1440,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1401-1450,St Barbara Standing next to her Tower.
27305,https://www.wga.hu/detail/zgothic/miniatur/1401-450/5flemish/10flemis.jpg,"MINIATURIST, Flemish",(active 1440s in Bruges),Breviary,c. 1440,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1401-1450,St Catherine trampling on the Emperor Diocletian.
27306,https://www.wga.hu/detail/zgothic/miniatur/1401-450/5flemish/11flemis.jpg,"MINIATURIST, Flemish",(active 1440s in Flanders),Breviary,1440s,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1401-1450,Resurrection of the Dead during the Last Judgment.
27312,https://www.wga.hu/detail/zgothic/miniatur/1401-450/6turin/14turin.jpg,"MINIATURIST, Flemish",(active around 1420 in Bruges),Turin-Milan Hours,c. 1420,"Manuscript (Ms. 47), 284 x 203 mm","Biblioteca Nazionale Reale, Turin",illumination,religious,Flemish,1401-1450,The main illumination depicts the Nativity. The lower scene represents the Annunciation of the Shepherds.
27316,https://www.wga.hu/detail/zgothic/miniatur/1401-450/6turin/18turin.jpg,"MINIATURIST, Flemish",(active around 1420 in Bruges),Turin-Milan Hours,c. 1420,"Manuscript (Ms. 47), 284 x 203 mm","Biblioteca Nazionale Reale, Turin",illumination,religious,Flemish,1401-1450,The main illumination depicts a funeral mass.
27317,https://www.wga.hu/detail/zgothic/miniatur/1401-450/6turin/19turin.jpg,"MINIATURIST, Flemish",(active around 1420 in Bruges),Turin-Milan Hours,c. 1420,"Manuscript (Ms. 47), 284 x 203 mm","Biblioteca Nazionale Reale, Turin",illumination,religious,Flemish,1401-1450,The main illumination depicts the Discovery of the True Cross. The lower scene represents the Proof of the True Cross.
27318,https://www.wga.hu/detail/zgothic/miniatur/1401-450/6turin/20turin.jpg,"MINIATURIST, Flemish",(active around 1420 in Bruges),Turin-Milan Hours,c. 1420,"Manuscript (Ms. 47), 284 x 203 mm","Biblioteca Nazionale Reale, Turin",illumination,religious,Flemish,1401-1450,The main illumination depicts the Madonna Enthroned with the Child. The lower scene represents Christ Preaching.
27327,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis1/15seculd.jpg,"MINIATURIST, Flemish",(active 1470s in Bruges),"Chroniques, Vol. IV, Part 2, by Jean Froissart",1470-72,Manuscript (Harley MS 4380),"British Library, London",illumination,historical,Flemish,1451-1500,"The miniature shown here depicts a French court jester, with cap, bells and club."
27335,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis1/18seculd.jpg,"MINIATURIST, Flemish",(active 1480s),Dyeing in a workshop,1482,Manuscript,"British Library, London",illumination,other,Flemish,1451-1500,Dyeing in a large cauldron over a fire.
27354,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis2/26hours.jpg,"MINIATURIST, Flemish",(active 1490s),Book of Hours,1490s,Manuscript,"Cathedral Library, Esztergom",illumination,religious,Flemish,1451-1500,The miniature depicting the Annunciation.
27355,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/11brevia.jpg,"MINIATURIST, Flemish",(active 1450s in Ghent),Breviary,1450s,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500, Madonna with the Child.
27356,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/12brevia.jpg,"MINIATURIST, Flemish",(active 1450s in Ghent),Breviary,1450s,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500, Extracting the Teeth of St Apollonia.
27357,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/13brevia.jpg,"MINIATURIST, Flemish",(active 1450-1475 in Hainaut),Breviary,1450-75,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500,Man with a bouquet of flowers in a gardens.
27358,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/14brevia.jpg,"MINIATURIST, Flemish",(active 1450-1475 in Hainaut),Breviary,1450-75,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500,"St Hubert, the patron saint of hunters."
27359,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/15brevia.jpg,"MINIATURIST, Flemish",(active c. 1460 in Ghent),Breviary,c. 1460,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500,St George and the Dragon.
27360,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/16brevia.jpg,"MINIATURIST, Flemish",(active c. 1460 in Ghent),Breviary,c. 1460,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500,St Margaret Coming out of the Dragon.
27361,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/17brevia.jpg,"MINIATURIST, Flemish",(active c. 1470 in Ghent),Breviary,c. 1470,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500,The Adoration of the Kings.
27362,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/18brevia.jpg,"MINIATURIST, Flemish",(active c. 1470 in Ghent),Breviary,c. 1470,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500,The illumination on this folio of a breviary depicts the Trinity.
27363,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/19brevia.jpg,"MINIATURIST, Flemish",(active 1490s in Bruges),Breviary,c. 1490,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500,The illumination on this folio of a breviary depicts the Raising of Lazarus.
27364,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/20brevia.jpg,"MINIATURIST, Flemish",(active 1490s in Bruges),Breviary,c. 1490,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1451-1500,The illumination on this folio of a breviary depicts the Crucifixion.
27368,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/23brevib.jpg,"MINIATURIST, Flemish",(active 1490s in Bruges),Breviary of Isabella of Castile,c. 1497,Manuscript (Additional MS 18851),"British Library, London",illumination,religious,Flemish,1451-1500,"Party of pleasure, punting on a river."
27369,https://www.wga.hu/detail/zgothic/miniatur/1451-500/3flemis3/23brevic.jpg,"MINIATURIST, Flemish",(active 1490s in Bruges),Breviary of Isabella of Castile,c. 1497,Manuscript (Additional MS 18851),"British Library, London",illumination,religious,Flemish,1451-1500,"Party of pleasure, punting on a river."
27379,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/34brevia.jpg,"MINIATURIST, Flemish",(active 1500-1510 in Flanders),Breviary,1500-10,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts the pruning of the trees.
27380,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/35brevia.jpg,"MINIATURIST, Flemish",(active 1500-1510 in Flanders),Breviary,1500-10,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts the family tree of the Madonna.
27381,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/36brevia.jpg,"MINIATURIST, Flemish",(active 1500-1510 in Flanders),Breviary,1500-10,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts the working on the fields.
27385,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/40brevia.jpg,"MINIATURIST, Flemish",(active c. 1525 in Li?ge),Breviary,c. 1525,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts the scene fo mowing grass.
27386,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/41brevia.jpg,"MINIATURIST, Flemish",(active c. 1525 in Li?ge),Breviary,c. 1525,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts the ploughings.
27387,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/42brevia.jpg,"MINIATURIST, Flemish",(active 1520-1525 in Ghent),Breviary,1520-25,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts the Madonna with St Anne and the Child.
27388,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/43brevia.jpg,"MINIATURIST, Flemish",(active 1520-1525 in Ghent),Breviary,1520-25,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts St Luke painting the Madonna.
27389,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/44brevia.jpg,"MINIATURIST, Flemish",(active 1520-1525 in Ghent),Breviary,1520-25,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts Christ as the Man of Sorrow.
27390,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/45brevia.jpg,"MINIATURIST, Flemish",(active 1520-1525 in Ghent),Breviary,1520-25,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts the Visitation.
27391,https://www.wga.hu/detail/zgothic/miniatur/1501-550/2breviar/46brevia.jpg,"MINIATURIST, Flemish",(active c. 1525 in Flanders),Breviary,c. 1525,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,Flemish,1501-1550,The illumination depicts the Apostle St James at the river Schelde near Antwerp.
27422,https://www.wga.hu/detail/zgothic/miniatur/0801-850/2french/4vivian7.jpg,"MINIATURIST, French",(active around 845 in Tours),Vivian Bible,c. 845,Manuscript (Ms. lat. 1),"Biblioth?que Nationale, Paris",illumination,religious,French,0801-0850,The picture shows with The Conversion of Saint Paul. In the bottom register the scene of Saint Paul preaching is depicted.
27475,https://www.wga.hu/detail/zgothic/miniatur/1151-200/4fecamp/01fecamp.jpg,"MINIATURIST, French",(active c. 1180 at F?camp),F?camp Psalter,c. 1180,"Manuscript (76 F 13), 160 x 125 mm","Koninklijke Bibliotheek, The Hague",illumination,religious,French,1151-1200,A two-faced man dining.
27478,https://www.wga.hu/detail/zgothic/miniatur/1151-200/4fecamp/04fecamp.jpg,"MINIATURIST, French",(active c. 1180 at F?camp),F?camp Psalter,c. 1180,"Manuscript (76 F 13), 160 x 125 mm","Koninklijke Bibliotheek, The Hague",illumination,religious,French,1151-1200,A man holding a flower.
27479,https://www.wga.hu/detail/zgothic/miniatur/1151-200/4fecamp/05fecamp.jpg,"MINIATURIST, French",(active c. 1180 at F?camp),F?camp Psalter,c. 1180,"Manuscript (76 F 13), 160 x 125 mm","Koninklijke Bibliotheek, The Hague",illumination,religious,French,1151-1200,A falconer.
27481,https://www.wga.hu/detail/zgothic/miniatur/1151-200/4fecamp/07fecamp.jpg,"MINIATURIST, French",(active c. 1180 at F?camp),F?camp Psalter,c. 1180,"Manuscript (76 F 13), 160 x 125 mm","Koninklijke Bibliotheek, The Hague",illumination,religious,French,1151-1200,A man weeding.
27488,https://www.wga.hu/detail/zgothic/miniatur/1151-200/4fecamp/14fecamp.jpg,"MINIATURIST, French",(active c. 1180 at F?camp),F?camp Psalter,c. 1180,"Manuscript (76 F 13), 155 x 115 mm","Koninklijke Bibliotheek, The Hague",illumination,religious,French,1151-1200,Baptism of Christ.
27489,https://www.wga.hu/detail/zgothic/miniatur/1151-200/4fecamp/15fecamp.jpg,"MINIATURIST, French",(active c. 1180 at F?camp),F?camp Psalter,c. 1180,"Manuscript (76 F 13), 165 x 115 mm","Koninklijke Bibliotheek, The Hague",illumination,religious,French,1151-1200,Capture of Christ and the Kiss of Judas.
27517,https://www.wga.hu/detail/zgothic/miniatur/1201-250/3french/52french.jpg,"MINIATURIST, French",(active 1225-1250 in Paris),Bible moralis?e,1225-50,Manuscript (Harley MS 1527). 400 x 275 mm,"British Library, London",illumination,religious,French,1201-1250,"The scene depicts a novice, having taken his vows, receiving the monk's habit."
27602,https://www.wga.hu/detail/zgothic/miniatur/1351-400/1french/french27.jpg,"MINIATURIST, French",(active in the 14th century),Chansons of Guillaume d'Orange,14th century,Manuscript (MS Royal 20. D. XI.),"British Library, London",illumination,other,French,1351-1400,"Vivian and two others being girt with the sword of knighthood, their hands uplifted to take the oath."
27612,https://www.wga.hu/detail/zgothic/miniatur/1401-450/1french/17secula.jpg,"MINIATURIST, French",(active around 1404-1408 in Paris),Christine de Pisan: Epistles of Othea,1404-08,"Manuscript (Ms. fran?ais 606), 360 x 270 mm (folio size)","Biblioth?que Nationale, Paris",illumination,other,French,1401-1450,Dawn brings forth the sun.
27613,https://www.wga.hu/detail/zgothic/miniatur/1401-450/1french/18secula.jpg,"MINIATURIST, French",(active around 1404-1408 in Paris),Christine de Pisan: Epistles of Othea,1404-08,"Manuscript (Ms. fran?ais 606), 360 x 270 mm (folio size)","Biblioth?que Nationale, Paris",illumination,other,French,1401-1450,Apollo and Daphne.
27621,https://www.wga.hu/detail/zgothic/miniatur/1401-450/1french/22secula.jpg,"MINIATURIST, French",(active around 1405-1410 in Paris),Gaston Phoebus: Book of the Hunt,1405-10,"Manuscript (Ms. fran?ais 616), 370 x 280 mm (folio size)","Biblioth?que Nationale, Paris",illumination,other,French,1401-1450,How to hunt wild boar.
27622,https://www.wga.hu/detail/zgothic/miniatur/1401-450/1french/23secula.jpg,"MINIATURIST, French",(active around 1405-1410 in Paris),Gaston Phoebus: Book of the Hunt,1405-10,"Manuscript (Ms. fran?ais 616), 370 x 280 mm (folio size)","Biblioth?que Nationale, Paris",illumination,other,French,1401-1450,How to seek game in spare coppices.
27623,https://www.wga.hu/detail/zgothic/miniatur/1401-450/1french/23seculb.jpg,"MINIATURIST, French",(active around 1405-1410 in Paris),Gaston Phoebus: Book of the Hunt,1405-10,Manuscript (Ms. fran?ais 616),"Biblioth?que Nationale, Paris",illumination,other,French,1401-1450,The present image from the manuscript illustrates hunting the wild boar.
27624,https://www.wga.hu/detail/zgothic/miniatur/1401-450/1french/23seculc.jpg,"MINIATURIST, French",(active around 1405-1410 in Paris),Gaston Phoebus: Book of the Hunt,1405-10,Manuscript (Ms. fran?ais 616),"Biblioth?que Nationale, Paris",illumination,other,French,1401-1450,The present image from the manuscript illustrates how to make snares and nets.
27629,https://www.wga.hu/detail/zgothic/miniatur/1401-450/1french/27secula.jpg,"MINIATURIST, French",(active 1420-25 in Paris),"Des cleres et nobles femmes, by Giovanni Boccaccio",1420-25,Manuscript (Ms Royal 20 C. V.),"British Library, London",illumination,other,French,1401-1450,"Penelope at her loom, surrounded by her increasingly exasperated suitors."
27636,https://www.wga.hu/detail/zgothic/miniatur/1401-450/1french/34secula.jpg,"MINIATURIST, French",(active in the 15th century),Ploughing,15th century,Manuscript,"British Library, London",illumination,other,French,1401-1450,Four teams of oxen ploughing strips of land typical of medieval farming.
27640,https://www.wga.hu/detail/zgothic/miniatur/1401-450/2french/11religi.jpg,"MINIATURIST, French",(active 1400-1410 in Paris),Breviary,1400-10,Manuscript,"Koninklijke Bibliotheek, The Hague",illumination,religious,French,1401-1450,The illumination on this folio of a breviary depicts the baby Madonna in her crib.
27642,https://www.wga.hu/detail/zgothic/miniatur/1401-450/2french/13religi.jpg,"MINIATURIST, French",(active around 1408 in Paris),Book of Hours,1408,Manuscript (Ms. Douce 144),"Bodleian Library, Oxford",illumination,religious,French,1401-1450,Conversion of St Paul.
27653,https://www.wga.hu/detail/zgothic/miniatur/1401-450/2french/19religj.jpg,"MINIATURIST, French",(active 1410-1440 in Paris),Grandes Heures de Rohan,1430-35,"Manuscript (Ms. lat. 9471), 290 x 210 mm","Biblioth?que Nationale, Paris",illumination,religious,French,1401-1450,The miniature depicts the Judgment of the Dead.
